x,y,z,r,g,b,
0.0540334,0.329961,-0.784649,213,248,194,
0.0978222,0.326195,-0.789128,132,185,153,
0.0180804,0.33086,-0.785095,129,176,139,
-0.0273342,0.325973,-0.778464,183,237,197,
-0.106246,0.325346,-0.778464,114,169,135,
0.00423856,0.325679,-0.785988,209,255,211,
-0.0526201,0.322198,-0.778464,124,172,142,
0.0782788,0.324676,-0.79686,131,183,152,
0.0678331,0.319501,-0.793658,196,239,193,
-0.0484753,0.312345,-0.785541,206,242,192,
-0.00357704,0.312124,-0.792294,138,181,137,
-0.0994083,0.307029,-0.778464,131,188,145,
0.016271,0.305459,-0.788228,219,254,200,
-0.120829,0.301707,-0.778464,126,179,137,
-0.039725,0.304696,-0.795485,136,191,148,
-0.0488521,0.297105,-0.793203,221,254,195,
0.0842918,0.298735,-0.808038,137,186,150,
0.0492634,0.288452,-0.801945,207,250,193,
-0.00565964,0.293626,-0.814704,184,233,179,
0.073863,0.291618,-0.81231,204,246,193,
0.02823,0.288778,-0.80851,190,224,173,
0.0128664,0.288366,-0.80851,120,169,135,
-0.0548159,0.290472,-0.810406,146,191,141,
-0.0433256,0.288296,-0.818078,194,250,196,
-0.128235,0.287491,-0.817111,188,245,178,
-0.0900477,0.282171,-0.820019,194,245,180,
-0.0542604,0.283296,-0.829366,129,179,136,
0.0829879,0.276217,-0.823929,182,236,186,
-0.0622758,0.273177,-0.84148,192,242,187,
0.0850232,0.269447,-0.841993,111,167,138,
0.0986298,0.264579,-0.849756,220,253,227,
-0.0858493,0.259808,-0.847152,191,243,186,
0.0962216,0.253596,-0.85185,221,254,217,
0.287882,0.191335,-0.833365,108,165,155,
0.270808,0.180635,-0.847672,167,255,240,
0.296084,0.147883,-0.83136,201,252,224,
0.228541,0.118872,-0.900099,189,238,201,
0.215168,0.11125,-0.898345,195,235,206,
0.253224,0.109443,-0.896597,206,253,219,
0.327075,0.0955091,-0.946954,155,231,212,
0.217592,0.0915748,-0.901273,104,159,147,
0.25987,0.0845504,-0.906592,196,253,222,
0.19887,0.0771131,-0.887959,165,226,196,
0.224218,0.0641804,-0.880607,241,250,237,
0.24839,0.0605275,-0.891394,218,254,226,
0.209487,0.0595499,-0.882856,137,185,159,
0.240562,0.0486865,-0.88173,161,206,182,
0.193475,0.045759,-0.875587,234,253,249,
0.279193,0.039027,-0.909574,179,241,214,
0.240595,0.03591,-0.872823,229,253,229,
0.314812,0.0357291,-0.91925,106,176,171,
0.302033,0.0318208,-0.915598,207,254,231,
0.256538,0.0299632,-0.872273,113,174,168,
0.19265,0.0270887,-0.864636,248,254,250,
0.236267,0.0231492,-0.863555,221,252,222,
0.310211,0.0180316,-0.889101,198,249,228,
0.25451,0.00873855,-0.858728,120,172,159,
0.259378,-0.00210556,-0.85554,220,249,213,
0.314351,-0.00933635,-0.889101,219,254,238,
0.208479,-0.0227962,-0.901861,164,233,199,
0.307527,-0.0307928,-0.889101,215,253,226,
0.297877,-0.036852,-0.876698,224,255,227,
0.249643,-0.0395744,-0.872823,120,175,153,
0.314527,-0.0419346,-0.893122,113,177,168,
0.226851,-0.0440642,-0.873927,177,226,192,
0.215868,-0.0850227,-0.88853,183,235,198,
0.277787,-0.0875983,-0.892545,203,253,212,
0.197087,-0.0919025,-0.882856,193,236,193,
0.231402,-0.0964176,-0.887959,100,154,138,
0.215611,-0.111116,-0.881168,166,224,194,
0.287519,-0.116941,-0.891394,212,251,216,
0.25197,-0.114207,-0.881168,207,253,216,
0.216962,-0.125272,-0.889101,85,141,126,
0.243355,-0.13622,-0.876142,113,168,143,
0.285635,-0.131495,-0.870077,179,237,208,
0.278121,-0.145736,-0.885117,108,168,157,
0.292637,0.024006,-0.89082,212,252,227,
0.227071,-0.156087,-0.867892,196,229,188,
0.272239,-0.165068,-0.872273,112,171,160,
0.233374,-0.169176,-0.867348,105,155,142,
0.182739,-0.224922,-0.979145,160,252,224,
0.276565,-0.208733,-0.864095,194,248,212,
0.192019,-0.237036,-0.970894,100,166,146,
0.224788,-0.223038,-0.849234,94,141,134,
0.189041,-0.253187,-0.96211,164,255,235,
0.235279,-0.226823,-0.840457,188,225,185,
0.283344,-0.244278,-0.85607,174,226,199,
0.213311,-0.248246,-0.873375,173,227,189,
0.173454,-0.252758,-0.85607,252,252,245,
0.294841,-0.249442,-0.858195,102,157,145,
0.186416,-0.259502,-0.860867,113,170,147,
0.236625,-0.255393,-0.84302,195,239,200,
0.166542,-0.263261,-0.848712,108,169,149,
0.283803,-0.281055,-0.864636,128,172,151,
0.243282,-0.281694,-0.844565,195,229,184,
0.238671,-0.294215,-0.850278,97,147,132,
0.245987,-0.313251,-0.819048,170,210,172,
0.244819,-0.338593,-0.835884,106,151,130,
0.254646,-0.344693,-0.830362,217,253,230,
0.240244,-0.355049,-0.837403,210,254,217,
0.284704,-0.370178,-0.852901,115,162,140,
0.250266,-0.38157,-0.860331,111,152,132,
0.214091,-0.384058,-0.844049,130,183,153,
0.234132,-0.386112,-0.820993,167,206,161,
0.190779,-0.422545,-0.876698,117,182,151,
0.260895,-0.424297,-0.823438,206,254,206,
0.277465,-0.432243,-0.822458,186,229,186,
0.210188,-0.441552,-0.839437,150,207,164,
0.242725,-0.45422,-0.835884,139,192,162,
0.287018,-0.462364,-0.836896,99,145,128,
0.265352,-0.452312,-0.814704,166,219,185,
-0.0701891,0.400349,-0.778464,185,229,175,
0.0464029,0.395001,-0.778464,135,185,154,
-0.017114,0.372834,-0.778464,207,254,206,
-0.0339881,0.371844,-0.778464,100,140,125,
0.0967606,0.363168,-0.778464,192,236,186,
0.00965217,0.34463,-0.778464,214,255,211,
0.099481,0.328593,-0.79184,129,182,151,
0.0219857,0.32859,-0.787331,130,176,139,
0.0150411,0.332532,-0.785988,120,172,133,
0.00355703,0.323834,-0.789579,208,251,203,
-0.116187,0.315727,-0.778464,173,227,179,
0.0134446,0.311076,-0.79003,220,255,198,
0.165483,0.303008,-0.799625,174,222,180,
0.0134616,0.298317,-0.808983,126,175,137,
-0.0854933,0.293578,-0.79824,119,177,138,
0.0719576,0.291049,-0.811833,208,249,195,
-0.0500528,0.280056,-0.83136,129,182,140,
-0.099469,0.278172,-0.830861,224,253,210,
-0.0653047,0.274908,-0.823438,196,240,175,
-0.0830277,0.27523,-0.840457,155,204,154,
0.172281,0.263884,-0.831861,154,214,174,
0.0807163,0.267334,-0.83639,122,181,149,
0.0954955,0.258785,-0.85185,215,254,214,
-0.085364,0.261819,-0.852375,191,242,185,
0.190282,0.160583,-0.916204,134,202,167,
0.251784,0.106915,-0.894856,212,254,216,
0.216164,0.093543,-0.903039,103,154,144,
0.200076,0.0751253,-0.885684,171,231,202,
0.27578,0.073343,-0.931639,108,172,162,
0.185565,0.0605167,-0.88455,112,173,165,
0.207918,0.0591467,-0.883985,129,182,158,
0.237764,0.0288096,-0.871174,233,255,230,
0.258602,0.0268189,-0.870625,120,177,167,
0.214046,0.021427,-0.872823,150,204,169,
0.251027,0.0124056,-0.860331,106,163,157,
0.194068,-0.00119998,-0.900686,97,156,143,
0.228951,-0.0434466,-0.875587,177,229,194,
0.252403,-0.056056,-0.87448,205,250,221,
0.277902,-0.0690091,-0.895435,125,183,166,
0.242146,-0.0748475,-0.882856,123,180,157,
0.19911,-0.0901374,-0.88342,189,232,188,
0.279918,-0.0913844,-0.893122,193,241,210,
0.229016,-0.0970524,-0.887959,102,156,140,
0.218422,-0.131219,-0.890246,86,141,131,
0.243589,-0.135087,-0.877254,113,167,144,
0.274591,-0.161925,-0.870077,113,176,164,
0.233302,-0.173146,-0.871723,104,157,146,
0.27754,-0.185579,-0.881168,182,233,199,
0.315711,-0.4771,-2.09478,146,255,220,
0.188729,-0.255992,-0.978452,170,253,245,
0.22265,-0.224958,-0.850278,87,136,128,
0.238354,-0.225251,-0.837911,204,237,197,
0.244522,-0.276505,-0.84148,202,235,192,
0.264534,-0.2854,-0.838927,188,235,202,
0.240327,-0.298688,-0.849756,98,143,130,
0.25028,-0.312898,-0.821481,180,218,179,
0.245353,-0.339928,-0.844565,101,146,125,
0.245063,-0.357471,-0.84148,208,254,219,
0.214648,-0.387622,-0.846633,122,175,143,
0.241233,-0.389173,-0.808983,183,216,169,
0.234687,-0.416158,-0.820019,107,158,136,
0.147555,-0.459969,-0.88853,132,197,149,
0.207289,-0.445146,-0.835379,142,198,160,
0.240163,-0.446565,-0.83136,141,194,164,
0.186309,-0.499312,-0.900099,126,186,156,
0.23831,-0.468262,-0.832361,82,131,115,
0.263898,-0.00204694,-0.858195,230,255,220,
0.235266,-0.256716,-0.83136,188,227,184,
0.132234,-0.460893,-0.88173,127,194,154,
-0.035324,0.371434,-0.778464,97,138,118,
0.050336,0.323688,-0.79003,220,247,187,
-0.0547183,0.306021,-0.793203,216,243,182,
0.16682,0.301341,-0.800088,175,224,181,
-0.0300054,0.302314,-0.79778,128,184,148,
-0.0839193,0.292253,-0.79778,121,179,142,
0.18618,0.0622912,-0.887389,112,173,165,
0.225172,0.0616828,-0.880046,244,253,241,
0.188872,0.0347575,-0.864095,246,254,248,
0.234673,0.0294717,-0.870625,231,254,222,
0.238656,0.00147633,-0.866804,100,159,149,
0.193729,0.00151162,-0.903039,99,158,145,
